"organizacion_politica","total","votos_validos","votos_emitidos","departamento","involucrado_corrupcion"
"MOVIMIENTO REGIONAL FUERZA AMAZONENSE",41358,24.43,18.73,"Amazonas",0
"MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO",16188,9.56,7.33,"Amazonas",0
"MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS",30545,18.05,13.83,"Amazonas",0
"SENTIMIENTO AMAZONENSE REGIONAL",42166,24.91,19.09,"Amazonas",0
"MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA",15715,9.28,7.12,"Amazonas",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8721,5.15,3.95,"Amazonas",0
"ALIANZA PARA EL PROGRESO",6662,3.94,3.02,"Amazonas",1
"FUERZA POPULAR",7903,4.67,3.58,"Amazonas",1
"MOVIMIENTO ACCION NACIONALISTA PERUANO",62403,12.33,9.06,"Ancash",0
"MOVIMIENTO REGIONAL EL MAICITO",80481,15.91,11.68,"Ancash",1
"MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO",42854,8.47,6.22,"Ancash",0
"MOVIMIENTO INDEPENDIENTE REGIONAL HORA CERO",15088,2.98,2.19,"Ancash",0
"MOVIMIENTO INDEPENDIENTE REGIONAL ANCASH A LA OBRA",55958,11.06,8.12,"Ancash",0
"PODEMOS POR EL PROGRESO DEL PERU",28193,5.57,4.09,"Ancash",1
"ALIANZA PARA EL PROGRESO",55975,11.06,8.12,"Ancash",1
"PARTIDO POPULAR CRISTIANO - PPC",5271,1.04,0.76,"Ancash",0
"PARTIDO DEMOCRATICO SOMOS PERU",68640,13.57,9.96,"Ancash",0
"PERU PATRIA SEGURA",5077,1,0.74,"Ancash",0
"FUERZA POPULAR",15248,3.01,2.21,"Ancash",1
"SIEMPRE UNIDOS",27018,5.34,3.92,"Ancash",0
"JUNTOS POR EL PERU",10769,2.13,1.56,"Ancash",0
"PARTIDO APRISTA PERUANO",9743,1.93,1.41,"Ancash",1
"RESTAURACION NACIONAL",23251,4.6,3.37,"Ancash",0
"MOVIMIENTO REGIONAL LLANKASUN KUSKA",38482,20.59,16.44,"Apurimac",0
"MOVIMIENTO POPULAR KALLPA",35644,19.07,15.23,"Apurimac",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",31131,16.65,13.3,"Apurimac",0
"ALIANZA PARA EL PROGRESO",31375,16.78,13.41,"Apurimac",1
"UNION POR EL PERU",3121,1.67,1.33,"Apurimac",1
"PARTIDO DEMOCRATICO SOMOS PERU",22047,11.79,9.42,"Apurimac",0
"FUERZA POPULAR",1694,0.91,0.72,"Apurimac",1
"JUNTOS POR EL PERU",4928,2.64,2.11,"Apurimac",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",5195,2.78,2.22,"Apurimac",0
"DEMOCRACIA DIRECTA",5135,2.75,2.19,"Apurimac",1
"VAMOS PERU",999,0.53,0.43,"Apurimac",0
"ACCION POPULAR",7176,3.84,3.07,"Apurimac",1
"JUNTOS POR EL DESARROLLO DE AREQUIPA",43562,6.1,4.75,"Arequipa",0
"FUERZA AREQUIPEÑA",76213,10.67,8.3,"Arequipa",0
"JUNTOS POR EL SUR",11543,1.62,1.26,"Arequipa",0
"MOVIMIENTO REGIONAL INDEPENDIENTE AREQUIPA MIA",17020,2.38,1.85,"Arequipa",0
"AREQUIPA - UNIDOS POR EL GRAN CAMBIO",132181,18.51,14.4,"Arequipa",1
"MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS",33784,4.73,3.68,"Arequipa",1
"AREQUIPA RENACE",88693,12.42,9.66,"Arequipa",1
"AREQUIPA TRANSFORMACION",94032,13.16,10.24,"Arequipa",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",45431,6.36,4.95,"Arequipa",0
"ALIANZA PARA EL PROGRESO",24549,3.44,2.67,"Arequipa",1
"PARTIDO POPULAR CRISTIANO - PPC",6823,0.96,0.74,"Arequipa",0
"TODOS POR EL PERU",40887,5.72,4.45,"Arequipa",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",17539,2.46,1.91,"Arequipa",0
"PARTIDO DEMOCRATICO SOMOS PERU",7479,1.05,0.81,"Arequipa",0
"SIEMPRE UNIDOS",13658,1.91,1.49,"Arequipa",0
"PERU LIBERTARIO",6646,0.93,0.72,"Arequipa",0
"RESTAURACION NACIONAL",15617,2.19,1.7,"Arequipa",0
"VAMOS PERU",5339,0.75,0.58,"Arequipa",0
"ACCION POPULAR",33271,4.66,3.62,"Arequipa",1
"MUSUQ ÑAN",79940,28.08,22.91,"Ayacucho",0
"MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL",7884,2.77,2.26,"Ayacucho",0
"MOVIMIENTO REGIONAL GANA AYACUCHO",36893,12.96,10.58,"Ayacucho",0
"DESARROLLO INTEGRAL AYACUCHO",35638,12.52,10.22,"Ayacucho",0
"TECNOLOGIA DE PUNTA PARA AYACUCHO",18148,6.38,5.2,"Ayacucho",0
"QATUN TARPUY",67163,23.6,19.25,"Ayacucho",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",10296,3.62,2.95,"Ayacucho",0
"ALIANZA PARA EL PROGRESO",14229,5,4.08,"Ayacucho",1
"TODOS POR EL PERU",2702,0.95,0.77,"Ayacucho",0
"PARTIDO APRISTA PERUANO",6289,2.21,1.8,"Ayacucho",1
"PERU LIBERTARIO",5458,1.92,1.56,"Ayacucho",0
"CAJAMARCA SIEMPRE VERDE",61639,9.69,7.41,"Cajamarca",0
"FRENTE REGIONAL DE CAJAMARCA",59939,9.42,7.21,"Cajamarca",0
"MOVIMIENTO DE AFIRMACION SOCIAL",118225,18.59,14.22,"Cajamarca",1
"PODEMOS POR EL PROGRESO DEL PERU",75791,11.92,9.11,"Cajamarca",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",22802,3.58,2.74,"Cajamarca",0
"ALIANZA PARA EL PROGRESO",149229,23.46,17.95,"Cajamarca",1
"DEMOCRACIA DIRECTA",12786,2.01,1.54,"Cajamarca",1
"ACCION POPULAR",135668,21.33,16.32,"Cajamarca",1
"POR TI CALLAO",157587,31.63,24.17,"Callao",0
"FUERZA CHALACA",100603,20.19,15.43,"Callao",0
"PODEMOS POR EL PROGRESO DEL PERU",17698,3.55,2.71,"Callao",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8158,1.64,1.25,"Callao",0
"ALIANZA PARA EL PROGRESO",96701,19.41,14.83,"Callao",1
"UNION POR EL PERU",9612,1.93,1.47,"Callao",1
"PARTIDO DEMOCRATICO SOMOS PERU",28246,5.67,4.33,"Callao",0
"PERU PATRIA SEGURA",23073,4.63,3.54,"Callao",0
"PERU NACION",31493,6.32,4.83,"Callao",0
"PARTIDO APRISTA PERUANO",9544,1.92,1.46,"Callao",1
"DEMOCRACIA DIRECTA",15569,3.12,2.39,"Callao",1
"MOVIMIENTO ETNOCACERISTA REGIONAL DEL CUSCO",23044,3.92,2.98,"Cusco",0
"AUTOGOBIERNO AYLLU",28625,4.87,3.71,"Cusco",0
"MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO",15001,2.55,1.94,"Cusco",0
"MOVIMIENTO REGIONAL TAWANTINSUYO",53795,9.16,6.96,"Cusco",0
"MOVIMIENTO REGIONAL INKA PACHAKUTEQ",58078,9.89,7.52,"Cusco",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",58010,9.88,7.51,"Cusco",0
"ALIANZA PARA EL PROGRESO",40160,6.84,5.2,"Cusco",1
"PARTIDO POPULAR CRISTIANO - PPC",8952,1.52,1.16,"Cusco",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",12934,2.2,1.67,"Cusco",0
"UNION POR EL PERU",8396,1.43,1.09,"Cusco",1
"PARTIDO DEMOCRATICO SOMOS PERU",34268,5.83,4.44,"Cusco",0
"FUERZA POPULAR",6307,1.07,0.82,"Cusco",1
"PERU NACION",3328,0.57,0.43,"Cusco",0
"RESTAURACION NACIONAL",86710,14.76,11.22,"Cusco",0
"DEMOCRACIA DIRECTA",62360,10.62,8.07,"Cusco",1
"ACCION POPULAR",87472,14.89,11.32,"Cusco",1
"MOVIMIENTO REGIONAL AYNI",62437,32.63,27.43,"Huancavelica",0
"MOVIMIENTO REGIONAL AGUA",30384,15.88,13.35,"Huancavelica",0
"MOVIMIENTO INDEPENDIENTE DE CAMPESINOS Y PROFESIONALES",18327,9.58,8.05,"Huancavelica",0
"MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS",68607,35.85,30.14,"Huancavelica",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2621,1.37,1.15,"Huancavelica",0
"ALIANZA PARA EL PROGRESO",2688,1.4,1.18,"Huancavelica",1
"PARTIDO DEMOCRATICO SOMOS PERU",6311,3.3,2.77,"Huancavelica",0
"MOVIMIENTO POLITICO FRENTE AMPLIO REGIONAL PAISANOCUNA",13648,3.97,3.22,"Huanuco",0
"MOVIMIENTO POLITICO CAMBIEMOS X HCO",41579,12.11,9.8,"Huanuco",0
"AVANZADA REGIONAL INDEPENDIENTE UNIDOS POR HUANUCO",60390,17.59,14.23,"Huanuco",1
"MOVIMIENTO POLITICO HECHOS Y NO PALABRAS",10181,2.96,2.4,"Huanuco",0
"PODEMOS POR EL PROGRESO DEL PERU",21657,6.31,5.1,"Huanuco",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6767,1.97,1.59,"Huanuco",0
"ALIANZA PARA EL PROGRESO",45062,13.12,10.62,"Huanuco",1
"SOLIDARIDAD NACIONAL",19634,5.72,4.63,"Huanuco",1
"PARTIDO DEMOCRATICO SOMOS PERU",15419,4.49,3.63,"Huanuco",0
"JUNTOS POR EL PERU",4286,1.25,1.01,"Huanuco",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",44051,12.83,10.38,"Huanuco",0
"DEMOCRACIA DIRECTA",4323,1.26,1.02,"Huanuco",1
"VAMOS PERU",2517,0.73,0.59,"Huanuco",0
"ACCION POPULAR",53865,15.69,12.69,"Huanuco",1
"UNIDOS POR LA REGION",71624,16.74,13.62,"Ica",0
"MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD",142042,33.2,27.01,"Ica",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8550,2,1.63,"Ica",0
"ALIANZA PARA EL PROGRESO",15311,3.58,2.91,"Ica",1
"UNION POR EL PERU",15972,3.73,3.04,"Ica",1
"FUERZA POPULAR",61352,14.34,11.67,"Ica",1
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",72783,17.01,13.84,"Ica",0
"VAMOS PERU",12858,3.01,2.44,"Ica",0
"ACCION POPULAR",27340,6.39,5.2,"Ica",1
"MOVIMIENTO POLITICO REGIONAL PERU LIBRE",221550,36.89,30.49,"Junin",1
"CAMINEMOS JUNTOS POR JUNIN",143535,23.9,19.75,"Junin",0
"JUNIN SOSTENIBLE CON SU GENTE",30437,5.07,4.19,"Junin",0
"MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN",92782,15.45,12.77,"Junin",0
"ALIANZA PARA EL PROGRESO",36053,6,4.96,"Junin",1
"TODOS POR EL PERU",4297,0.72,0.59,"Junin",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",13992,2.33,1.93,"Junin",0
"UNION POR EL PERU",15652,2.61,2.15,"Junin",1
"PERU NACION",3979,0.66,0.55,"Junin",0
"JUNTOS POR EL PERU",4690,0.78,0.65,"Junin",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",14161,2.36,1.95,"Junin",0
"ACCION POPULAR",19470,3.24,2.68,"Junin",1
"NUEVA LIBERTAD",37857,4.49,3.48,"La Libertad",0
"MOVIMIENTO REGIONAL PARA EL DESARROLLO CON SEGURIDAD Y HONRADEZ",6984,0.83,0.64,"La Libertad",0
"SUMATE",64434,7.65,5.92,"La Libertad",0
"PODEMOS POR EL PROGRESO DEL PERU",8238,0.98,0.76,"La Libertad",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",19129,2.27,1.76,"La Libertad",0
"ALIANZA PARA EL PROGRESO",275980,32.75,25.37,"La Libertad",1
"TODOS POR EL PERU",68561,8.14,6.3,"La Libertad",0
"PARTIDO DEMOCRATICO SOMOS PERU",48956,5.81,4.5,"La Libertad",0
"FUERZA POPULAR",69300,8.22,6.37,"La Libertad",1
"PERU NACION",6825,0.81,0.63,"La Libertad",0
"JUNTOS POR EL PERU",8835,1.05,0.81,"La Libertad",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",3923,0.47,0.36,"La Libertad",0
"PARTIDO APRISTA PERUANO",138750,16.46,12.76,"La Libertad",1
"PERU LIBERTARIO",4124,0.49,0.38,"La Libertad",0
"RESTAURACION NACIONAL",22469,2.67,2.07,"La Libertad",0
"DEMOCRACIA DIRECTA",12730,1.51,1.17,"La Libertad",1
"ACCION POPULAR",45693,5.42,4.2,"La Libertad",1
"PRIMERO LAMBAYEQUE",27194,4.51,3.58,"Lambayeque",0
"PODEMOS POR EL PROGRESO DEL PERU",252377,41.88,33.25,"Lambayeque",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5214,0.87,0.69,"Lambayeque",0
"ALIANZA PARA EL PROGRESO",111633,18.53,14.71,"Lambayeque",1
"PARTIDO POPULAR CRISTIANO - PPC",9661,1.6,1.27,"Lambayeque",0
"TODOS POR EL PERU",18181,3.02,2.4,"Lambayeque",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",4604,0.76,0.61,"Lambayeque",0
"PARTIDO DEMOCRATICO SOMOS PERU",34093,5.66,4.49,"Lambayeque",0
"PERU PATRIA SEGURA",3797,0.63,0.5,"Lambayeque",0
"FUERZA POPULAR",37151,6.17,4.89,"Lambayeque",1
"JUNTOS POR EL PERU",53718,8.92,7.08,"Lambayeque",0
"PERUANOS POR EL KAMBIO",6976,1.16,0.92,"Lambayeque",1
"VAMOS PERU",5894,0.98,0.78,"Lambayeque",0
"ACCION POPULAR",32060,5.32,4.22,"Lambayeque",1
"PATRIA JOVEN",84746,17.47,13.87,"Lima",0
"FUERZA REGIONAL",73851,15.23,12.09,"Lima",0
"CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA",38567,7.95,6.31,"Lima",1
"TODOS POR EL CAMBIO",8513,1.76,1.39,"Lima",0
"MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA",60325,12.44,9.87,"Lima",0
"PODEMOS POR EL PROGRESO DEL PERU",8659,1.79,1.42,"Lima",1
"ALIANZA PARA EL PROGRESO",49867,10.28,8.16,"Lima",1
"PARTIDO POPULAR CRISTIANO - PPC",3885,0.8,0.64,"Lima",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",12272,2.53,2.01,"Lima",0
"PARTIDO DEMOCRATICO SOMOS PERU",45704,9.42,7.48,"Lima",0
"PERU PATRIA SEGURA",9703,2,1.59,"Lima",0
"FUERZA POPULAR",34554,7.13,5.66,"Lima",1
"SIEMPRE UNIDOS",4480,0.92,0.73,"Lima",0
"PERU NACION",2237,0.46,0.37,"Lima",0
"JUNTOS POR EL PERU",3624,0.75,0.59,"Lima",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",5221,1.08,0.85,"Lima",0
"PERU LIBERTARIO",5475,1.13,0.9,"Lima",0
"ACCION POPULAR",33285,6.86,5.45,"Lima",1
"MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO",9457,2.49,2.01,"Loreto",0
"MOVIMIENTO ESPERANZA REGION AMAZONICA",102497,27.02,21.79,"Loreto",0
"MOVIMIENTO INTEGRACION LORETANA",49687,13.1,10.56,"Loreto",0
"PODEMOS POR EL PROGRESO DEL PERU",6040,1.59,1.28,"Loreto",1
"PARTIDO POPULAR CRISTIANO - PPC",6934,1.83,1.47,"Loreto",0
"TODOS POR EL PERU",8385,2.21,1.78,"Loreto",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",14807,3.9,3.15,"Loreto",0
"UNION POR EL PERU",8178,2.16,1.74,"Loreto",1
