"Organización Política","involucrado_corrupcion"
"MOVIMIENTO REGIONAL FUERZA AMAZONENSE",0
"MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO",0
"MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS",0
"SENTIMIENTO AMAZONENSE REGIONAL",0
"MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
"ALIANZA PARA EL PROGRESO",1
"FUERZA POPULAR",1
"MOVIMIENTO ACCION NACIONALISTA PERUANO",0
"MOVIMIENTO REGIONAL EL MAICITO",1
"MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO",0
"MOVIMIENTO INDEPENDIENTE REGIONAL HORA CERO",0
"MOVIMIENTO INDEPENDIENTE REGIONAL ANCASH A LA OBRA",0
"PODEMOS POR EL PROGRESO DEL PERU",1
"ALIANZA PARA EL PROGRESO",1
"PARTIDO POPULAR CRISTIANO - PPC",0
"PARTIDO DEMOCRATICO SOMOS PERU",0
"PERU PATRIA SEGURA",0
"FUERZA POPULAR",1
"SIEMPRE UNIDOS",0
"JUNTOS POR EL PERU",0
"PARTIDO APRISTA PERUANO",1
"RESTAURACION NACIONAL",0
"MOVIMIENTO REGIONAL LLANKASUN KUSKA",0
"MOVIMIENTO POPULAR KALLPA",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
"ALIANZA PARA EL PROGRESO",1
"UNION POR EL PERU",1
"PARTIDO DEMOCRATICO SOMOS PERU",0
"FUERZA POPULAR",1
"JUNTOS POR EL PERU",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",0
"DEMOCRACIA DIRECTA",1
"VAMOS PERU",0
"ACCION POPULAR",1
"JUNTOS POR EL DESARROLLO DE AREQUIPA",0
"FUERZA AREQUIPEÑA",0
"JUNTOS POR EL SUR",0
"MOVIMIENTO REGIONAL INDEPENDIENTE AREQUIPA MIA",0
"AREQUIPA - UNIDOS POR EL GRAN CAMBIO",1
"MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS",1
"AREQUIPA RENACE",1
"AREQUIPA TRANSFORMACION",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
"ALIANZA PARA EL PROGRESO",1
"PARTIDO POPULAR CRISTIANO - PPC",0
"TODOS POR EL PERU",0
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",0
"PARTIDO DEMOCRATICO SOMOS PERU",0
"SIEMPRE UNIDOS",0
"PERU LIBERTARIO",0
"RESTAURACION NACIONAL",0
"VAMOS PERU",0
"ACCION POPULAR",1
"MUSUQ ÑAN",0
"MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL",0
"MOVIMIENTO REGIONAL GANA AYACUCHO",0
"DESARROLLO INTEGRAL AYACUCHO",0
"TECNOLOGIA DE PUNTA PARA AYACUCHO",0
"QATUN TARPUY",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
"ALIANZA PARA EL PROGRESO",1
"TODOS POR EL PERU",0
"PARTIDO APRISTA PERUANO",1
"PERU LIBERTARIO",0
"CAJAMARCA SIEMPRE VERDE",0
"FRENTE REGIONAL DE CAJAMARCA",0
"MOVIMIENTO DE AFIRMACION SOCIAL",1
"PODEMOS POR EL PROGRESO DEL PERU",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
"ALIANZA PARA EL PROGRESO",1
"DEMOCRACIA DIRECTA",1
"ACCION POPULAR",1
"POR TI CALLAO",0
"FUERZA CHALACA",0
"PODEMOS POR EL PROGRESO DEL PERU",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
"ALIANZA PARA EL PROGRESO",1
"UNION POR EL PERU",1
"PARTIDO DEMOCRATICO SOMOS PERU",0
"PERU PATRIA SEGURA",0
"PERU NACION",0
"PARTIDO APRISTA PERUANO",1
"DEMOCRACIA DIRECTA",1
