"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO REGIONAL FUERZA AMAZONENSE",41358,24.43,18.73
"MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO",16188,9.56,7.33
"MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS",30545,18.05,13.83
"SENTIMIENTO AMAZONENSE REGIONAL",42166,24.91,19.09
"MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA",15715,9.28,7.12
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8721,5.15,3.95
"ALIANZA PARA EL PROGRESO",6662,3.94,3.02
"FUERZA POPULAR",7903,4.67,3.58
"TOTAL DE VOTOS VALIDOS",169258,100,76.64
"VOTOS EN BLANCO",20287,NA,9.19
"VOTOS NULOS",31299,NA,14.17
"TOTAL DE VOTOS EMITIDOS",220844,NA,100
