"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO ACCION NACIONALISTA PERUANO",62403,12.33,9.06
"MOVIMIENTO REGIONAL EL MAICITO",80481,15.91,11.68
"MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO",42854,8.47,6.22
"MOVIMIENTO INDEPENDIENTE REGIONAL HORA CERO",15088,2.98,2.19
"MOVIMIENTO INDEPENDIENTE REGIONAL ANCASH A LA OBRA",55958,11.06,8.12
"PODEMOS POR EL PROGRESO DEL PERU",28193,5.57,4.09
"ALIANZA PARA EL PROGRESO",55975,11.06,8.12
"PARTIDO POPULAR CRISTIANO - PPC",5271,1.04,0.76
"PARTIDO DEMOCRATICO SOMOS PERU",68640,13.57,9.96
"PERU PATRIA SEGURA",5077,1,0.74
"FUERZA POPULAR",15248,3.01,2.21
"SIEMPRE UNIDOS",27018,5.34,3.92
"JUNTOS POR EL PERU",10769,2.13,1.56
"PARTIDO APRISTA PERUANO",9743,1.93,1.41
"RESTAURACION NACIONAL",23251,4.6,3.37
"TOTAL DE VOTOS VALIDOS",505969,100,73.43
"VOTOS EN BLANCO",99841,NA,14.49
"VOTOS NULOS",83225,NA,12.08
"TOTAL DE VOTOS EMITIDOS",689035,NA,100
