"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO REGIONAL LLANKASUN KUSKA",38482,20.59,16.44
"MOVIMIENTO POPULAR KALLPA",35644,19.07,15.23
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",31131,16.65,13.3
"ALIANZA PARA EL PROGRESO",31375,16.78,13.41
"UNION POR EL PERU",3121,1.67,1.33
"PARTIDO DEMOCRATICO SOMOS PERU",22047,11.79,9.42
"FUERZA POPULAR",1694,0.91,0.72
"JUNTOS POR EL PERU",4928,2.64,2.11
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",5195,2.78,2.22
"DEMOCRACIA DIRECTA",5135,2.75,2.19
"VAMOS PERU",999,0.53,0.43
"ACCION POPULAR",7176,3.84,3.07
"TOTAL DE VOTOS VALIDOS",186927,100,79.87
"VOTOS EN BLANCO",27557,NA,11.77
"VOTOS NULOS",19555,NA,8.36
"TOTAL DE VOTOS EMITIDOS",234039,NA,100
