"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"JUNTOS POR EL DESARROLLO DE AREQUIPA",43562,6.1,4.75
"FUERZA AREQUIPEÑA",76213,10.67,8.3
"JUNTOS POR EL SUR",11543,1.62,1.26
"MOVIMIENTO REGIONAL INDEPENDIENTE AREQUIPA MIA",17020,2.38,1.85
"AREQUIPA - UNIDOS POR EL GRAN CAMBIO",132181,18.51,14.4
"MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS",33784,4.73,3.68
"AREQUIPA RENACE",88693,12.42,9.66
"AREQUIPA TRANSFORMACION",94032,13.16,10.24
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",45431,6.36,4.95
"ALIANZA PARA EL PROGRESO",24549,3.44,2.67
"PARTIDO POPULAR CRISTIANO - PPC",6823,0.96,0.74
"TODOS POR EL PERU",40887,5.72,4.45
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",17539,2.46,1.91
"PARTIDO DEMOCRATICO SOMOS PERU",7479,1.05,0.81
"SIEMPRE UNIDOS",13658,1.91,1.49
"PERU LIBERTARIO",6646,0.93,0.72
"RESTAURACION NACIONAL",15617,2.19,1.7
"VAMOS PERU",5339,0.75,0.58
"ACCION POPULAR",33271,4.66,3.62
"TOTAL DE VOTOS VALIDOS",714267,100,77.81
"VOTOS EN BLANCO",76070,NA,8.29
"VOTOS NULOS",127666,NA,13.91
"TOTAL DE VOTOS EMITIDOS",918003,NA,100
