"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MUSUQ ÑAN",79940,28.08,22.91
"MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL",7884,2.77,2.26
"MOVIMIENTO REGIONAL GANA AYACUCHO",36893,12.96,10.58
"DESARROLLO INTEGRAL AYACUCHO",35638,12.52,10.22
"TECNOLOGIA DE PUNTA PARA AYACUCHO",18148,6.38,5.2
"QATUN TARPUY",67163,23.6,19.25
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",10296,3.62,2.95
"ALIANZA PARA EL PROGRESO",14229,5,4.08
"TODOS POR EL PERU",2702,0.95,0.77
"PARTIDO APRISTA PERUANO",6289,2.21,1.8
"PERU LIBERTARIO",5458,1.92,1.56
"TOTAL DE VOTOS VALIDOS",284640,100,81.59
"VOTOS EN BLANCO",33003,NA,9.46
"VOTOS NULOS",31213,NA,8.95
"TOTAL DE VOTOS EMITIDOS",348856,NA,100
