"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"CAJAMARCA SIEMPRE VERDE",61639,9.69,7.41
"FRENTE REGIONAL DE CAJAMARCA",59939,9.42,7.21
"MOVIMIENTO DE AFIRMACION SOCIAL",118225,18.59,14.22
"PODEMOS POR EL PROGRESO DEL PERU",75791,11.92,9.11
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",22802,3.58,2.74
"ALIANZA PARA EL PROGRESO",149229,23.46,17.95
"DEMOCRACIA DIRECTA",12786,2.01,1.54
"ACCION POPULAR",135668,21.33,16.32
"TOTAL DE VOTOS VALIDOS",636079,100,76.5
"VOTOS EN BLANCO",126104,NA,15.17
"VOTOS NULOS",69335,NA,8.34
"TOTAL DE VOTOS EMITIDOS",831518,NA,100
