"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"POR TI CALLAO",157587,31.63,24.17
"FUERZA CHALACA",100603,20.19,15.43
"PODEMOS POR EL PROGRESO DEL PERU",17698,3.55,2.71
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8158,1.64,1.25
"ALIANZA PARA EL PROGRESO",96701,19.41,14.83
"UNION POR EL PERU",9612,1.93,1.47
"PARTIDO DEMOCRATICO SOMOS PERU",28246,5.67,4.33
"PERU PATRIA SEGURA",23073,4.63,3.54
"PERU NACION",31493,6.32,4.83
"PARTIDO APRISTA PERUANO",9544,1.92,1.46
"DEMOCRACIA DIRECTA",15569,3.12,2.39
"TOTAL DE VOTOS VALIDOS",498284,100,76.43
"VOTOS EN BLANCO",64167,NA,9.84
"VOTOS NULOS",89477,NA,13.72
"TOTAL DE VOTOS EMITIDOS",651928,NA,100
