"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO ETNOCACERISTA REGIONAL DEL CUSCO",23044,3.92,2.98
"AUTOGOBIERNO AYLLU",28625,4.87,3.71
"MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO",15001,2.55,1.94
"MOVIMIENTO REGIONAL TAWANTINSUYO",53795,9.16,6.96
"MOVIMIENTO REGIONAL INKA PACHAKUTEQ",58078,9.89,7.52
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",58010,9.88,7.51
"ALIANZA PARA EL PROGRESO",40160,6.84,5.2
"PARTIDO POPULAR CRISTIANO - PPC",8952,1.52,1.16
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",12934,2.2,1.67
"UNION POR EL PERU",8396,1.43,1.09
"PARTIDO DEMOCRATICO SOMOS PERU",34268,5.83,4.44
"FUERZA POPULAR",6307,1.07,0.82
"PERU NACION",3328,0.57,0.43
"RESTAURACION NACIONAL",86710,14.76,11.22
"DEMOCRACIA DIRECTA",62360,10.62,8.07
"ACCION POPULAR",87472,14.89,11.32
"TOTAL DE VOTOS VALIDOS",587440,100,76.04
"VOTOS EN BLANCO",93976,NA,12.16
"VOTOS NULOS",91140,NA,11.8
"TOTAL DE VOTOS EMITIDOS",772556,NA,100
