"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO REGIONAL AYNI",62437,32.63,27.43
"MOVIMIENTO REGIONAL AGUA",30384,15.88,13.35
"MOVIMIENTO INDEPENDIENTE DE CAMPESINOS Y PROFESIONALES",18327,9.58,8.05
"MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS",68607,35.85,30.14
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2621,1.37,1.15
"ALIANZA PARA EL PROGRESO",2688,1.4,1.18
"PARTIDO DEMOCRATICO SOMOS PERU",6311,3.3,2.77
"TOTAL DE VOTOS VALIDOS",191375,100,84.07
"VOTOS EN BLANCO",16399,NA,7.2
"VOTOS NULOS",19865,NA,8.73
"TOTAL DE VOTOS EMITIDOS",227639,NA,100
