"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO POLITICO FRENTE AMPLIO REGIONAL PAISANOCUNA",13648,3.97,3.22
"MOVIMIENTO POLITICO CAMBIEMOS X HCO",41579,12.11,9.8
"AVANZADA REGIONAL INDEPENDIENTE UNIDOS POR HUANUCO",60390,17.59,14.23
"MOVIMIENTO POLITICO HECHOS Y NO PALABRAS",10181,2.96,2.4
"PODEMOS POR EL PROGRESO DEL PERU",21657,6.31,5.1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6767,1.97,1.59
"ALIANZA PARA EL PROGRESO",45062,13.12,10.62
"SOLIDARIDAD NACIONAL",19634,5.72,4.63
"PARTIDO DEMOCRATICO SOMOS PERU",15419,4.49,3.63
"JUNTOS POR EL PERU",4286,1.25,1.01
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",44051,12.83,10.38
"DEMOCRACIA DIRECTA",4323,1.26,1.02
"VAMOS PERU",2517,0.73,0.59
"ACCION POPULAR",53865,15.69,12.69
"TOTAL DE VOTOS VALIDOS",343379,100,80.91
"VOTOS EN BLANCO",42588,NA,10.03
"VOTOS NULOS",38450,NA,9.06
"TOTAL DE VOTOS EMITIDOS",424417,NA,100
