"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"UNIDOS POR LA REGION",71624,16.74,13.62
"MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD",142042,33.2,27.01
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8550,2,1.63
"ALIANZA PARA EL PROGRESO",15311,3.58,2.91
"UNION POR EL PERU",15972,3.73,3.04
"FUERZA POPULAR",61352,14.34,11.67
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",72783,17.01,13.84
"VAMOS PERU",12858,3.01,2.44
"ACCION POPULAR",27340,6.39,5.2
"TOTAL DE VOTOS VALIDOS",427832,100,81.35
"VOTOS EN BLANCO",50186,NA,9.54
"VOTOS NULOS",47921,NA,9.11
"TOTAL DE VOTOS EMITIDOS",525939,NA,100
