"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO POLITICO REGIONAL PERU LIBRE",221550,36.89,30.49
"CAMINEMOS JUNTOS POR JUNIN",143535,23.9,19.75
"JUNIN SOSTENIBLE CON SU GENTE",30437,5.07,4.19
"MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN",92782,15.45,12.77
"ALIANZA PARA EL PROGRESO",36053,6,4.96
"TODOS POR EL PERU",4297,0.72,0.59
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",13992,2.33,1.93
"UNION POR EL PERU",15652,2.61,2.15
"PERU NACION",3979,0.66,0.55
"JUNTOS POR EL PERU",4690,0.78,0.65
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",14161,2.36,1.95
"ACCION POPULAR",19470,3.24,2.68
"TOTAL DE VOTOS VALIDOS",600598,100,82.65
"VOTOS EN BLANCO",58199,NA,8.01
"VOTOS NULOS",67899,NA,9.34
"TOTAL DE VOTOS EMITIDOS",726696,NA,100
