"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"NUEVA LIBERTAD",37857,4.49,3.48
"MOVIMIENTO REGIONAL PARA EL DESARROLLO CON SEGURIDAD Y HONRADEZ",6984,0.83,0.64
"SUMATE",64434,7.65,5.92
"PODEMOS POR EL PROGRESO DEL PERU",8238,0.98,0.76
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",19129,2.27,1.76
"ALIANZA PARA EL PROGRESO",275980,32.75,25.37
"TODOS POR EL PERU",68561,8.14,6.3
"PARTIDO DEMOCRATICO SOMOS PERU",48956,5.81,4.5
"FUERZA POPULAR",69300,8.22,6.37
"PERU NACION",6825,0.81,0.63
"JUNTOS POR EL PERU",8835,1.05,0.81
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",3923,0.47,0.36
"PARTIDO APRISTA PERUANO",138750,16.46,12.76
"PERU LIBERTARIO",4124,0.49,0.38
"RESTAURACION NACIONAL",22469,2.67,2.07
"DEMOCRACIA DIRECTA",12730,1.51,1.17
"ACCION POPULAR",45693,5.42,4.2
"TOTAL DE VOTOS VALIDOS",842788,100,77.48
"VOTOS EN BLANCO",105883,NA,9.73
"VOTOS NULOS",139113,NA,12.79
"TOTAL DE VOTOS EMITIDOS",1087784,NA,100
