"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"PATRIA JOVEN",84746,17.47,13.87
"FUERZA REGIONAL",73851,15.23,12.09
"CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA",38567,7.95,6.31
"TODOS POR EL CAMBIO",8513,1.76,1.39
"MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA",60325,12.44,9.87
"PODEMOS POR EL PROGRESO DEL PERU",8659,1.79,1.42
"ALIANZA PARA EL PROGRESO",49867,10.28,8.16
"PARTIDO POPULAR CRISTIANO - PPC",3885,0.8,0.64
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",12272,2.53,2.01
"PARTIDO DEMOCRATICO SOMOS PERU",45704,9.42,7.48
"PERU PATRIA SEGURA",9703,2,1.59
"FUERZA POPULAR",34554,7.13,5.66
"SIEMPRE UNIDOS",4480,0.92,0.73
"PERU NACION",2237,0.46,0.37
"JUNTOS POR EL PERU",3624,0.75,0.59
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",5221,1.08,0.85
"PERU LIBERTARIO",5475,1.13,0.9
"ACCION POPULAR",33285,6.86,5.45
"TOTAL DE VOTOS VALIDOS",484968,100,79.38
"VOTOS EN BLANCO",65803,NA,10.77
"VOTOS NULOS",60150,NA,9.85
"TOTAL DE VOTOS EMITIDOS",610921,NA,100
