"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO",9457,2.49,2.01
"MOVIMIENTO ESPERANZA REGION AMAZONICA",102497,27.02,21.79
"MOVIMIENTO INTEGRACION LORETANA",49687,13.1,10.56
"PODEMOS POR EL PROGRESO DEL PERU",6040,1.59,1.28
"PARTIDO POPULAR CRISTIANO - PPC",6934,1.83,1.47
"TODOS POR EL PERU",8385,2.21,1.78
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",14807,3.9,3.15
"UNION POR EL PERU",8178,2.16,1.74
"FUERZA POPULAR",14933,3.94,3.17
"PERU NACION",1079,0.28,0.23
"PARTIDO APRISTA PERUANO",4873,1.28,1.04
"RESTAURACION NACIONAL",129282,34.08,27.48
"VAMOS PERU",3717,0.98,0.79
"ACCION POPULAR",19527,5.15,4.15
"TOTAL DE VOTOS VALIDOS",379396,100,80.66
"VOTOS EN BLANCO",45403,NA,9.65
"VOTOS NULOS",45576,NA,9.69
"TOTAL DE VOTOS EMITIDOS",470375,NA,100
