"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"FUERZA POR MADRE DE DIOS",14695,24.48,18.44
"ALIANZA PARA EL PROGRESO",13241,22.06,16.62
"PARTIDO POPULAR CRISTIANO - PPC",669,1.11,0.84
"TODOS POR EL PERU",0,0,0
"UNION POR EL PERU",1207,2.01,1.51
"PARTIDO DEMOCRATICO SOMOS PERU",6441,10.73,8.08
"PERU PATRIA SEGURA",7678,12.79,9.63
"PERU NACION",2087,3.48,2.62
"JUNTOS POR EL PERU",1653,2.75,2.07
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",3678,6.13,4.62
"PERU LIBERTARIO",5017,8.36,6.3
"DEMOCRACIA DIRECTA",3667,6.11,4.6
"TOTAL DE VOTOS VALIDOS",60033,100,75.33
"VOTOS EN BLANCO",10119,NA,12.7
"VOTOS NULOS",9537,NA,11.97
"TOTAL DE VOTOS EMITIDOS",79689,NA,100
