"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"FRENTE DE INTEGRACION REGIONAL MOQUEGUA EMPRENDEDORA FIRME",37718,41.91,31.92
"PODEMOS POR EL PROGRESO DEL PERU",5188,5.76,4.39
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2093,2.33,1.77
"ALIANZA PARA EL PROGRESO",2049,2.28,1.73
"UNION POR EL PERU",19052,21.17,16.12
"FUERZA POPULAR",1206,1.34,1.02
"PERU NACION",16922,18.8,14.32
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",925,1.03,0.78
"PARTIDO APRISTA PERUANO",1703,1.89,1.44
"PERU LIBERTARIO",978,1.09,0.83
"VAMOS PERU",2174,2.42,1.84
"TOTAL DE VOTOS VALIDOS",90008,100,76.17
"VOTOS EN BLANCO",17731,NA,15.01
"VOTOS NULOS",10427,NA,8.82
"TOTAL DE VOTOS EMITIDOS",118166,NA,100
