"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"PASCO DIGNIDAD",7934,6.59,5.48
"FRENTE ANDINO AMAZONICO",10712,8.9,7.4
"PASCO VERDE",17399,14.45,12.01
"PODEMOS POR EL PROGRESO DEL PERU",21540,17.89,14.87
"ALIANZA PARA EL PROGRESO",28283,23.49,19.53
"TODOS POR EL PERU",3805,3.16,2.63
"PARTIDO DEMOCRATICO SOMOS PERU",10249,8.51,7.08
"PERUANOS POR EL KAMBIO",13726,11.4,9.48
"ACCION POPULAR",6751,5.61,4.66
"TOTAL DE VOTOS VALIDOS",120399,100,83.12
"VOTOS EN BLANCO",12914,NA,8.92
"VOTOS NULOS",11530,NA,7.96
"TOTAL DE VOTOS EMITIDOS",144843,NA,100
