"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"REGION PARA TODOS",187822,22.35,17.25
"MOVIMIENTO REGIONAL SEGURIDAD Y PROSPERIDAD",116192,13.82,10.67
"MOVIMIENTO DE DESARROLLO LOCAL MODELO REGION PIURA",84715,10.08,7.78
"MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL",165116,19.64,15.17
"PODEMOS POR EL PROGRESO DEL PERU",5994,0.71,0.55
"ALIANZA PARA EL PROGRESO",56807,6.76,5.22
"PARTIDO POPULAR CRISTIANO - PPC",12307,1.46,1.13
"PARTIDO DEMOCRATICO SOMOS PERU",102793,12.23,9.44
"PERU PATRIA SEGURA",2143,0.25,0.2
"FUERZA POPULAR",24973,2.97,2.29
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",7123,0.85,0.65
"PARTIDO APRISTA PERUANO",17414,2.07,1.6
"RESTAURACION NACIONAL",18754,2.23,1.72
"VAMOS PERU",3511,0.42,0.32
"ACCION POPULAR",34882,4.15,3.2
"TOTAL DE VOTOS VALIDOS",840546,100,77.2
"VOTOS EN BLANCO",131077,NA,12.04
"VOTOS NULOS",117169,NA,10.76
"TOTAL DE VOTOS EMITIDOS",1088792,NA,100
