"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MORAL Y DESARROLLO",51358,8.56,6.8
"MOVIMIENTO DE INTEGRACION POR EL DESARROLLO REGIONAL (MI CASITA)",261219,43.55,34.58
"PODER DEMOCRATICO REGIONAL",28582,4.76,3.78
"PODER ANDINO",63696,10.62,8.43
"FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO",97367,16.23,12.89
"ALIANZA PARA EL PROGRESO",31784,5.3,4.21
"PERU PATRIA SEGURA",5152,0.86,0.68
"DEMOCRACIA DIRECTA",29498,4.92,3.9
"ACCION POPULAR",31226,5.21,4.13
"TOTAL DE VOTOS VALIDOS",599882,100,79.41
"VOTOS EN BLANCO",80367,NA,10.64
"VOTOS NULOS",75196,NA,9.95
"TOTAL DE VOTOS EMITIDOS",755445,NA,100
