"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"ACCION REGIONAL",79060,21.04,16.7
"NUEVA AMAZONIA",41886,11.15,8.85
"MAS SAN MARTIN",12002,3.19,2.54
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2467,0.66,0.52
"ALIANZA PARA EL PROGRESO",107364,28.57,22.68
"UNION POR EL PERU",8570,2.28,1.81
"FUERZA POPULAR",22243,5.92,4.7
"PARTIDO APRISTA PERUANO",14516,3.86,3.07
"VAMOS PERU",27273,7.26,5.76
"ACCION POPULAR",60406,16.07,12.76
"TOTAL DE VOTOS VALIDOS",375787,100,79.39
"VOTOS EN BLANCO",56661,NA,11.97
"VOTOS NULOS",40924,NA,8.65
"TOTAL DE VOTOS EMITIDOS",473372,NA,100
