"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"BANDERAS TACNEÑISTAS",25733,14.78,11.39
"MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA",28576,16.42,12.65
"FRENTE ESPERANZA POR TACNA",19198,11.03,8.5
"ACCION POR LA UNIDAD TACNA",29438,16.91,13.03
"PODEMOS POR EL PROGRESO DEL PERU",4332,2.49,1.92
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",12080,6.94,5.35
"TODOS POR EL PERU",6925,3.98,3.07
"UNION POR EL PERU",1174,0.67,0.52
"FUERZA POPULAR",1389,0.8,0.61
"SIEMPRE UNIDOS",12617,7.25,5.58
"PERU NACION",1890,1.09,0.84
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",3166,1.82,1.4
"RESTAURACION NACIONAL",12277,7.05,5.43
"DEMOCRACIA DIRECTA",6797,3.9,3.01
"VAMOS PERU",5468,3.14,2.42
"ACCION POPULAR",3017,1.73,1.34
"TOTAL DE VOTOS VALIDOS",174077,100,77.06
"VOTOS EN BLANCO",22681,NA,10.04
"VOTOS NULOS",29151,NA,12.9
"TOTAL DE VOTOS EMITIDOS",225909,NA,100
