"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"MOVIMIENTO POLITICO REGIONAL DIGNIDAD TUMBESINA",8843,8.77,6.61
"MOVIMIENTO DE INCLUSION REGIONAL",10643,10.55,7.95
"RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO",4112,4.08,3.07
"MOVIMIENTO INDEPENDIENTE REGIONAL YO SI AMO A TUMBES",2365,2.35,1.77
"MOVIMIENTO INDEPENDIENTE REGIONAL FAENA",24174,23.97,18.06
"PODEMOS POR EL PROGRESO DEL PERU",1225,1.21,0.92
"ALIANZA PARA EL PROGRESO",6336,6.28,4.73
"SOLIDARIDAD NACIONAL",6805,6.75,5.08
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",1603,1.59,1.2
"PARTIDO DEMOCRATICO SOMOS PERU",6998,6.94,5.23
"FUERZA POPULAR",2951,2.93,2.2
"PERU NACION",1029,1.02,0.77
"JUNTOS POR EL PERU",1814,1.8,1.36
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",2091,2.07,1.56
"RESTAURACION NACIONAL",1934,1.92,1.44
"DEMOCRACIA DIRECTA",17047,16.91,12.74
"VAMOS PERU",867,0.86,0.65
"TOTAL DE VOTOS VALIDOS",100837,100,75.33
"VOTOS EN BLANCO",18380,NA,13.73
"VOTOS NULOS",14639,NA,10.94
"TOTAL DE VOTOS EMITIDOS",133856,NA,100
