"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"UCAYALI REGION CON FUTURO",49023,22.23,18.25
"TODOS SOMOS UCAYALI",25117,11.39,9.35
"CIENCIA Y ACCION MOVILIZADORA DE UCAYALI",1815,0.82,0.68
"ALIANZA PARA EL PROGRESO",80865,36.67,30.1
"PARTIDO POPULAR CRISTIANO - PPC",6237,2.83,2.32
"TODOS POR EL PERU",6263,2.84,2.33
"FUERZA POPULAR",9583,4.35,3.57
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",1759,0.8,0.65
"PERU LIBERTARIO",2331,1.06,0.87
"DEMOCRACIA DIRECTA",17066,7.74,6.35
"ACCION POPULAR",20443,9.27,7.61
"TOTAL DE VOTOS VALIDOS",220502,100,82.09
"VOTOS EN BLANCO",27341,NA,10.18
"VOTOS NULOS",20779,NA,7.74
"TOTAL DE VOTOS EMITIDOS",268622,NA,100
